message_id,action,message_type,reason,confidence,evidence_message_ids
msg_031,notify,urgent,"The message looks time-sensitive, so it was routed for immediate attention.",0.67,message_0249;message_0170;message_0169;message_0266;message_0219;message_0218;message_0041;message_0003;message_0118;message_0397
msg_057,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.5,message_0249;message_0170;message_0169;message_0266;message_0219;message_0218;message_0041;message_0003;message_0118;message_0397
msg_087,mute,promotion,Low-value or low-trust content was muted.,0.16,message_0204;message_0203;message_0223;message_0301;message_0358;message_0392;message_0334
msg_067,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.45,message_0057;message_0271;message_0015;message_0130;message_0269;message_0129;message_0190;message_0030;message_0189;message_0029
msg_039,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.5,message_0255;message_0037;message_0134;message_0331;message_0133;message_0051;message_0210;message_0209;message_0403;message_0217
msg_082,notify,unknown,"The message had clear relevance or urgency, so it was routed as a notification.",0.51,message_0249;message_0170;message_0169;message_0266;message_0219;message_0218;message_0041;message_0003;message_0118;message_0397
msg_066,mute,promotion,Suspicious or unsafe content was muted to reduce risk.,0.2,message_0186;message_0185;message_0188;message_0187;message_0261;message_0336;message_0351
msg_049,notify,business_update,A verified business message with relevant context was routed as a notification.,0.71,message_0153;message_0291;message_0154
msg_015,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.4,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_051,mute,promotion,Suspicious or unsafe content was muted to reduce risk.,0.2,message_0104;message_0103;message_0337;message_0356;message_0257;message_0158;message_0157
msg_097,digest,event,Routine informational content was batched into the digest.,0.43,message_0054;message_0035;message_0409;message_0368;message_0367;message_0387;message_0366;message_0148;message_0226;message_0168
msg_089,digest,promotion,Promotional content with low urgency was batched for later review.,0.32,message_0095;message_0271;message_0036;message_0212;message_0211;message_0090;message_0086;message_0089;message_0385;message_0361
msg_053,mute,payment,Repeated or low-trust content was muted because it looked low-value.,0.12,message_0391;message_0411;message_0253;message_0162;message_0161
msg_059,digest,promotion,Promotional content with low urgency was batched for later review.,0.17,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_024,mute,promotion,Suspicious or unsafe content was muted to reduce risk.,0.2,message_0104;message_0103;message_0337;message_0356;message_0257;message_0158;message_0157
msg_072,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.42,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_036,mute,greeting,Low-value or low-trust content was muted.,0.0,message_0128;message_0127;message_0283
msg_076,mute,promotion,Low-value or low-trust content was muted.,0.0,message_0208;message_0207;message_0160;message_0159
msg_055,notify,urgent,"The message looks time-sensitive, so it was routed for immediate attention.",0.4,message_0016;message_0035;message_0148;message_0147;message_0166;message_0046;message_0165;message_0197;message_0198
msg_102,mute,scam,Suspicious or unsafe content was muted to reduce risk.,0.2,message_0371;message_0230;message_0055;message_0249;message_0310;message_0228;message_0170;message_0227;message_0169;message_0362
msg_080,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.45,message_0057;message_0271;message_0015;message_0130;message_0269;message_0129;message_0190;message_0030;message_0189;message_0029
msg_093,notify,scam,A verified business message with relevant context was routed as a notification.,0.52,message_0017;message_0153;message_0272;message_0156;message_0333;message_0275;message_0350;message_0353;message_0251;message_0312
msg_034,notify,promotion,"The message had clear relevance or urgency, so it was routed as a notification.",0.06,message_0194;message_0136;message_0078;message_0193;message_0135;message_0077;message_0172;message_0171;message_0014;message_0013
msg_035,notify,urgent,"The message looks time-sensitive, so it was routed for immediate attention.",0.8,message_0126;message_0125;message_0302;message_0281;message_0273
msg_101,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.42,message_0313;message_0374;message_0292;message_0234;message_0411;message_0074;message_0370;message_0073;message_0250;message_0192
msg_041,notify,business_update,A verified business message with relevant context was routed as a notification.,0.51,message_0329;message_0308;message_0287;message_0138;message_0137;message_0354
msg_011,mute,event,Repeated or low-trust content was muted because it looked low-value.,0.0,message_0194;message_0136;message_0078;message_0193;message_0135;message_0077;message_0172;message_0171;message_0014;message_0013
msg_110,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.27,message_0095;message_0271;message_0036;message_0212;message_0211;message_0090;message_0086;message_0089;message_0385;message_0361
msg_095,mute,scam,Low-value or low-trust content was muted.,0.0,message_0214;message_0173;message_0213;message_0053;message_0056;message_0369;message_0092;message_0091;message_0087;message_0365
msg_074,mute,promotion,Repeated or low-trust content was muted because it looked low-value.,0.06,message_0204;message_0203;message_0223;message_0301;message_0358;message_0392;message_0334
msg_073,notify,promotion,"The message had clear relevance or urgency, so it was routed as a notification.",0.32,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_054,digest,promotion,Promotional content with low urgency was batched for later review.,0.12,message_0012;message_0164;message_0163;message_0182;message_0399;message_0181
msg_068,notify,greeting,"The message had clear relevance or urgency, so it was routed as a notification.",0.41,message_0192;message_0191;message_0010;message_0038
msg_100,notify,urgent,"The message looks time-sensitive, so it was routed for immediate attention.",0.68,message_0371;message_0230;message_0055;message_0249;message_0310;message_0228;message_0170;message_0227;message_0169;message_0362
msg_062,mute,event,Low-value or low-trust content was muted.,0.09,message_0057;message_0271;message_0015;message_0130;message_0269;message_0129;message_0190;message_0030;message_0189;message_0029
msg_096,digest,scam,Low-priority content was grouped into the digest.,0.24,message_0095;message_0271;message_0036;message_0212;message_0211;message_0090;message_0086;message_0089;message_0385;message_0361
msg_043,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.21,message_0057;message_0271;message_0015;message_0130;message_0269;message_0129;message_0190;message_0030;message_0189;message_0029
msg_077,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.5,message_0255;message_0037;message_0134;message_0331;message_0133;message_0051;message_0210;message_0209;message_0403;message_0217
msg_081,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.51,message_0255;message_0037;message_0134;message_0331;message_0133;message_0051;message_0210;message_0209;message_0403;message_0217
msg_025,notify,business_update,A verified business message with relevant context was routed as a notification.,0.82,message_0031;message_0267;message_0324;message_0106;message_0262;message_0105;message_0400;message_0239;message_0062;message_0004
msg_084,notify,payment,"The message appears payment-related, so it was prioritized for immediate attention.",0.62,message_0407;message_0263;message_0243;message_0102;message_0101;message_0220
msg_022,digest,event,Routine informational content was batched into the digest.,0.33,message_0152;message_0151;message_0150;message_0149;message_0140;message_0139;message_0237;message_0100;message_0099
